Date/Time,Power Produced (W)
2019-04-03 06:35:00 +0530,97
2019-04-03 06:40:00 +0530,30
2019-04-03 06:45:00 +0530,30
2019-04-03 06:50:00 +0530,34
2019-04-03 06:55:00 +0530,36
2019-04-03 07:00:00 +0530,36
2019-04-03 07:05:00 +0530,62
2019-04-03 07:10:00 +0530,77
2019-04-03 07:15:00 +0530,77
2019-04-03 07:20:00 +0530,104
2019-04-03 07:25:00 +0530,119
2019-04-03 07:30:00 +0530,119
2019-04-03 07:35:00 +0530,152
2019-04-03 07:40:00 +0530,171
2019-04-03 07:45:00 +0530,171
2019-04-03 07:50:00 +0530,208
2019-04-03 07:55:00 +0530,230
2019-04-03 08:00:00 +0530,230
2019-04-03 08:05:00 +0530,270
2019-04-03 08:10:00 +0530,294
2019-04-03 08:15:00 +0530,294
2019-04-03 08:20:00 +0530,319
2019-04-03 08:25:00 +0530,336
2019-04-03 08:30:00 +0530,367
2019-04-03 08:35:00 +0530,2
2019-04-03 08:40:00 +0530,0
2019-04-03 08:45:00 +0530,0
2019-04-03 08:50:00 +0530,0
2019-04-03 08:55:00 +0530,0
2019-04-03 09:00:00 +0530,0
2019-04-03 09:05:00 +0530,0
2019-04-03 09:10:00 +0530,0
2019-04-03 09:15:00 +0530,0
2019-04-03 09:20:00 +0530,453
2019-04-03 09:25:00 +0530,572
2019-04-03 09:30:00 +0530,577
2019-04-03 09:35:00 +0530,606
2019-04-03 09:40:00 +0530,624
2019-04-03 09:45:00 +0530,631
2019-04-03 09:50:00 +0530,646
2019-04-03 09:55:00 +0530,663
2019-04-03 10:00:00 +0530,667
2019-04-03 10:05:00 +0530,681
2019-04-03 10:10:00 +0530,697
2019-04-03 10:15:00 +0530,701
2019-04-03 10:20:00 +0530,710
2019-04-03 10:25:00 +0530,730
2019-04-03 10:30:00 +0530,734
2019-04-03 10:35:00 +0530,747
2019-04-03 10:40:00 +0530,768
2019-04-03 10:45:00 +0530,772
2019-04-03 10:50:00 +0530,784
2019-04-03 10:55:00 +0530,790
2019-04-03 11:00:00 +0530,790
2019-04-03 11:05:00 +0530,782
2019-04-03 11:10:00 +0530,790
2019-04-03 11:15:00 +0530,792
2019-04-03 11:20:00 +0530,807
2019-04-03 11:25:00 +0530,821
2019-04-03 11:30:00 +0530,823
2019-04-03 11:35:00 +0530,828
2019-04-03 11:40:00 +0530,826
2019-04-03 11:45:00 +0530,827
2019-04-03 11:50:00 +0530,823
2019-04-03 11:55:00 +0530,826
2019-04-03 12:00:00 +0530,825
2019-04-03 12:05:00 +0530,838
2019-04-03 12:10:00 +0530,852
2019-04-03 12:15:00 +0530,858
2019-04-03 12:20:00 +0530,854
2019-04-03 12:25:00 +0530,857
2019-04-03 12:30:00 +0530,858
2019-04-03 12:35:00 +0530,857
2019-04-03 12:40:00 +0530,852
2019-04-03 12:45:00 +0530,854
2019-04-03 12:50:00 +0530,874
2019-04-03 12:55:00 +0530,886
2019-04-03 13:00:00 +0530,886
2019-04-03 13:05:00 +0530,859
2019-04-03 13:10:00 +0530,841
2019-04-03 13:15:00 +0530,840
2019-04-03 13:20:00 +0530,873
2019-04-03 13:25:00 +0530,851
2019-04-03 13:30:00 +0530,840
2019-04-03 13:35:00 +0530,814
2019-04-03 13:40:00 +0530,830
2019-04-03 13:45:00 +0530,840
2019-04-03 13:50:00 +0530,836
2019-04-03 13:55:00 +0530,809
2019-04-03 14:00:00 +0530,803
2019-04-03 14:05:00 +0530,723
2019-04-03 14:10:00 +0530,710
2019-04-03 14:15:00 +0530,721
2019-04-03 14:20:00 +0530,734
2019-04-03 14:25:00 +0530,706
2019-04-03 14:30:00 +0530,698
2019-04-03 14:35:00 +0530,761
2019-04-03 14:40:00 +0530,553
2019-04-03 14:45:00 +0530,463
2019-04-03 14:50:00 +0530,680
2019-04-03 14:55:00 +0530,729
2019-04-03 15:00:00 +0530,724
2019-04-03 15:05:00 +0530,594
2019-04-03 15:10:00 +0530,617
2019-04-03 15:15:00 +0530,654
2019-04-03 15:20:00 +0530,622
2019-04-03 15:25:00 +0530,571
2019-04-03 15:30:00 +0530,553
2019-04-03 15:35:00 +0530,523
2019-04-03 15:40:00 +0530,467
2019-04-03 15:45:00 +0530,448
2019-04-03 15:50:00 +0530,301
2019-04-03 15:55:00 +0530,392
2019-04-03 16:00:00 +0530,463
2019-04-03 16:05:00 +0530,390
2019-04-03 16:10:00 +0530,338
2019-04-03 16:15:00 +0530,330
2019-04-03 16:20:00 +0530,367
2019-04-03 16:25:00 +0530,371
2019-04-03 16:30:00 +0530,364
2019-04-03 16:35:00 +0530,359
2019-04-03 16:40:00 +0530,333
2019-04-03 16:45:00 +0530,322
2019-04-03 16:50:00 +0530,246
2019-04-03 16:55:00 +0530,226
2019-04-03 17:00:00 +0530,226
2019-04-03 17:05:00 +0530,204
2019-04-03 17:10:00 +0530,196
2019-04-03 17:15:00 +0530,196
2019-04-03 17:20:00 +0530,148
2019-04-03 17:25:00 +0530,131
2019-04-03 17:30:00 +0530,131
2019-04-03 17:35:00 +0530,87
2019-04-03 17:40:00 +0530,71
2019-04-03 17:45:00 +0530,71
2019-04-03 17:50:00 +0530,48
2019-04-03 17:55:00 +0530,39
2019-04-03 18:00:00 +0530,39
2019-04-03 18:05:00 +0530,24
2019-04-03 18:10:00 +0530,19
2019-04-03 18:15:00 +0530,19
2019-04-03 18:20:00 +0530,5
2019-04-03 18:25:00 +0530,0
2019-04-03 18:30:00 +0530,0
2019-04-03 18:35:00 +0530,0
2019-04-03 18:40:00 +0530,0
2019-04-03 18:45:00 +0530,0
2019-04-03 18:50:00 +0530,0
2019-04-03 18:55:00 +0530,0
2019-04-03 19:00:00 +0530,0
2019-04-03 19:05:00 +0530,0
2019-04-03 19:10:00 +0530,0
2019-04-03 19:15:00 +0530,0
2019-04-03 19:20:00 +0530,0
2019-04-03 19:25:00 +0530,0
2019-04-03 19:30:00 +0530,0
2019-04-03 19:35:00 +0530,0
2019-04-03 19:40:00 +0530,0
2019-04-03 19:45:00 +0530,0
2019-04-03 19:50:00 +0530,0
2019-04-03 19:55:00 +0530,0
2019-04-03 20:00:00 +0530,0
2019-04-03 20:05:00 +0530,0
2019-04-03 20:10:00 +0530,0
2019-04-03 20:15:00 +0530,0
2019-04-03 20:20:00 +0530,0
2019-04-03 20:25:00 +0530,0
2019-04-03 20:30:00 +0530,0
2019-04-03 20:35:00 +0530,0
2019-04-03 20:40:00 +0530,0
2019-04-03 20:45:00 +0530,0
2019-04-03 20:50:00 +0530,0
2019-04-03 20:55:00 +0530,0
2019-04-03 21:00:00 +0530,0
2019-04-03 21:05:00 +0530,0
2019-04-03 21:10:00 +0530,0
2019-04-03 21:15:00 +0530,0
2019-04-03 21:20:00 +0530,0
2019-04-03 21:25:00 +0530,0
2019-04-03 21:30:00 +0530,0
2019-04-03 21:35:00 +0530,0
2019-04-03 21:40:00 +0530,0
2019-04-03 21:45:00 +0530,0
2019-04-03 21:50:00 +0530,0
2019-04-03 21:55:00 +0530,0
2019-04-03 22:00:00 +0530,0
2019-04-03 22:05:00 +0530,0
2019-04-03 22:10:00 +0530,0
2019-04-03 22:15:00 +0530,0
2019-04-03 22:20:00 +0530,0
2019-04-03 22:25:00 +0530,0
2019-04-03 22:30:00 +0530,0
2019-04-03 22:35:00 +0530,0
2019-04-03 22:40:00 +0530,0
2019-04-03 22:45:00 +0530,0
2019-04-03 22:50:00 +0530,0
2019-04-03 22:55:00 +0530,0
2019-04-03 23:00:00 +0530,0
2019-04-03 23:05:00 +0530,0
2019-04-03 23:10:00 +0530,0
2019-04-03 23:15:00 +0530,0
2019-04-03 23:20:00 +0530,0
2019-04-03 23:25:00 +0530,0
2019-04-03 23:30:00 +0530,0
2019-04-03 23:35:00 +0530,0
2019-04-03 23:40:00 +0530,0
2019-04-03 23:45:00 +0530,0
2019-04-03 23:50:00 +0530,0
2019-04-03 23:55:00 +0530,0
2019-04-04 00:00:00 +0530,0
2019-04-04 00:05:00 +0530,0
2019-04-04 00:10:00 +0530,0
2019-04-04 00:15:00 +0530,0
2019-04-04 00:20:00 +0530,0
2019-04-04 00:25:00 +0530,0
2019-04-04 00:30:00 +0530,0
2019-04-04 00:35:00 +0530,0
2019-04-04 00:40:00 +0530,0
2019-04-04 00:45:00 +0530,0
2019-04-04 00:50:00 +0530,0
2019-04-04 00:55:00 +0530,0
2019-04-04 01:00:00 +0530,0
2019-04-04 01:05:00 +0530,0
2019-04-04 01:10:00 +0530,0
2019-04-04 01:15:00 +0530,0
2019-04-04 01:20:00 +0530,0
2019-04-04 01:25:00 +0530,0
2019-04-04 01:30:00 +0530,0
2019-04-04 01:35:00 +0530,0
2019-04-04 01:40:00 +0530,0
2019-04-04 01:45:00 +0530,0
2019-04-04 01:50:00 +0530,0
2019-04-04 01:55:00 +0530,0
2019-04-04 02:00:00 +0530,0
2019-04-04 02:05:00 +0530,0
2019-04-04 02:10:00 +0530,0
2019-04-04 02:15:00 +0530,0
2019-04-04 02:20:00 +0530,0
2019-04-04 02:25:00 +0530,0
2019-04-04 02:30:00 +0530,0
2019-04-04 02:35:00 +0530,0
2019-04-04 02:40:00 +0530,0
2019-04-04 02:45:00 +0530,0
2019-04-04 02:50:00 +0530,0
2019-04-04 02:55:00 +0530,0
2019-04-04 03:00:00 +0530,0
2019-04-04 03:05:00 +0530,0
2019-04-04 03:10:00 +0530,0
2019-04-04 03:15:00 +0530,0
2019-04-04 03:20:00 +0530,0
2019-04-04 03:25:00 +0530,0
2019-04-04 03:30:00 +0530,0
2019-04-04 03:35:00 +0530,0
2019-04-04 03:40:00 +0530,0
2019-04-04 03:45:00 +0530,0
2019-04-04 03:50:00 +0530,0
2019-04-04 03:55:00 +0530,0
2019-04-04 04:00:00 +0530,0
2019-04-04 04:05:00 +0530,0
2019-04-04 04:10:00 +0530,0
2019-04-04 04:15:00 +0530,0
2019-04-04 04:20:00 +0530,0
2019-04-04 04:25:00 +0530,0
2019-04-04 04:30:00 +0530,0
2019-04-04 04:35:00 +0530,0
2019-04-04 04:40:00 +0530,0
2019-04-04 04:45:00 +0530,0
2019-04-04 04:50:00 +0530,0
2019-04-04 04:55:00 +0530,0
2019-04-04 05:00:00 +0530,0
2019-04-04 05:05:00 +0530,0
2019-04-04 05:10:00 +0530,0
2019-04-04 05:15:00 +0530,0
2019-04-04 05:20:00 +0530,0
2019-04-04 05:25:00 +0530,0
2019-04-04 05:30:00 +0530,0
2019-04-04 05:35:00 +0530,0
2019-04-04 05:40:00 +0530,0
2019-04-04 05:45:00 +0530,0
2019-04-04 05:50:00 +0530,0
2019-04-04 05:55:00 +0530,0
2019-04-04 06:00:00 +0530,0
2019-04-04 06:05:00 +0530,0
2019-04-04 06:10:00 +0530,0
2019-04-04 06:15:00 +0530,0
2019-04-04 06:20:00 +0530,3
2019-04-04 06:25:00 +0530,8
2019-04-04 06:30:00 +0530,8
2019-04-04 06:35:00 +0530,14
2019-04-04 06:40:00 +0530,22
2019-04-04 06:45:00 +0530,22
2019-04-04 06:50:00 +0530,34
2019-04-04 06:55:00 +0530,50
2019-04-04 07:00:00 +0530,50
2019-04-04 07:05:00 +0530,66
2019-04-04 07:10:00 +0530,85
2019-04-04 07:15:00 +0530,85
2019-04-04 07:20:00 +0530,105
2019-04-04 07:25:00 +0530,129
2019-04-04 07:30:00 +0530,129
2019-04-04 07:35:00 +0530,156
2019-04-04 07:40:00 +0530,190
2019-04-04 07:45:00 +0530,190
2019-04-04 07:50:00 +0530,215
2019-04-04 07:55:00 +0530,246
2019-04-04 08:00:00 +0530,246
2019-04-04 08:05:00 +0530,274
2019-04-04 08:10:00 +0530,313
2019-04-04 08:15:00 +0530,313
2019-04-04 08:20:00 +0530,341
2019-04-04 08:25:00 +0530,382
2019-04-04 08:30:00 +0530,382
2019-04-04 08:35:00 +0530,402
2019-04-04 08:40:00 +0530,434
2019-04-04 08:45:00 +0530,434
2019-04-04 08:50:00 +0530,457
2019-04-04 08:55:00 +0530,489
2019-04-04 09:00:00 +0530,489
2019-04-04 09:05:00 +0530,512
2019-04-04 09:10:00 +0530,553
2019-04-04 09:15:00 +0530,553
2019-04-04 09:20:00 +0530,574
2019-04-04 09:25:00 +0530,606
2019-04-04 09:30:00 +0530,606
2019-04-04 09:35:00 +0530,626
2019-04-04 09:40:00 +0530,657
2019-04-04 09:45:00 +0530,657
2019-04-04 09:50:00 +0530,678
2019-04-04 09:55:00 +0530,700
2019-04-04 10:00:00 +0530,700
2019-04-04 10:05:00 +0530,716
2019-04-04 10:10:00 +0530,741
2019-04-04 10:15:00 +0530,741
2019-04-04 10:20:00 +0530,759
2019-04-04 10:25:00 +0530,787
2019-04-04 10:30:00 +0530,787
2019-04-04 10:35:00 +0530,802
2019-04-04 10:40:00 +0530,825
2019-04-04 10:45:00 +0530,825
2019-04-04 10:50:00 +0530,834
2019-04-04 10:55:00 +0530,846
2019-04-04 11:00:00 +0530,846
2019-04-04 11:05:00 +0530,852
2019-04-04 11:10:00 +0530,868
2019-04-04 11:15:00 +0530,868
2019-04-04 11:20:00 +0530,869
2019-04-04 11:25:00 +0530,876
2019-04-04 11:30:00 +0530,876
2019-04-04 11:35:00 +0530,879
2019-04-04 11:40:00 +0530,887
2019-04-04 11:45:00 +0530,887
2019-04-04 11:50:00 +0530,890
2019-04-04 11:55:00 +0530,891
2019-04-04 12:00:00 +0530,891
2019-04-04 12:05:00 +0530,893
2019-04-04 12:10:00 +0530,902
2019-04-04 12:15:00 +0530,902
2019-04-04 12:20:00 +0530,903
2019-04-04 12:25:00 +0530,901
2019-04-04 12:30:00 +0530,901
2019-04-04 12:35:00 +0530,903
2019-04-04 12:40:00 +0530,907
2019-04-04 12:45:00 +0530,907
2019-04-04 12:50:00 +0530,911
2019-04-04 12:55:00 +0530,912
2019-04-04 13:00:00 +0530,912
2019-04-04 13:05:00 +0530,910
2019-04-04 13:10:00 +0530,907
2019-04-04 13:15:00 +0530,907
2019-04-04 13:20:00 +0530,903
2019-04-04 13:25:00 +0530,889
2019-04-04 13:30:00 +0530,889
2019-04-04 13:35:00 +0530,877
2019-04-04 13:40:00 +0530,854
2019-04-04 13:45:00 +0530,854
2019-04-04 13:50:00 +0530,853
2019-04-04 13:55:00 +0530,845
2019-04-04 14:00:00 +0530,845
2019-04-04 14:05:00 +0530,836
2019-04-04 14:10:00 +0530,818
2019-04-04 14:15:00 +0530,818
2019-04-04 14:20:00 +0530,807
2019-04-04 14:25:00 +0530,782
2019-04-04 14:30:00 +0530,782
2019-04-04 14:35:00 +0530,776
2019-04-04 14:40:00 +0530,763
2019-04-04 14:45:00 +0530,763
2019-04-04 14:50:00 +0530,747
2019-04-04 14:55:00 +0530,711
2019-04-04 15:00:00 +0530,711
2019-04-04 15:05:00 +0530,695
2019-04-04 15:10:00 +0530,663
2019-04-04 15:15:00 +0530,663
2019-04-04 15:20:00 +0530,652
2019-04-04 15:25:00 +0530,626
2019-04-04 15:30:00 +0530,626
2019-04-04 15:35:00 +0530,612
2019-04-04 15:40:00 +0530,573
2019-04-04 15:45:00 +0530,573
2019-04-04 15:50:00 +0530,554
2019-04-04 15:55:00 +0530,502
2019-04-04 16:00:00 +0530,502
2019-04-04 16:05:00 +0530,484
2019-04-04 16:10:00 +0530,441
2019-04-04 16:15:00 +0530,441
2019-04-04 16:20:00 +0530,428
2019-04-04 16:25:00 +0530,400
2019-04-04 16:30:00 +0530,400
2019-04-04 16:35:00 +0530,383
2019-04-04 16:40:00 +0530,332
2019-04-04 16:45:00 +0530,332
2019-04-04 16:50:00 +0530,312
2019-04-04 16:55:00 +0530,249
2019-04-04 17:00:00 +0530,249
2019-04-04 17:05:00 +0530,232
2019-04-04 17:10:00 +0530,175
2019-04-04 17:15:00 +0530,175
2019-04-04 17:20:00 +0530,161
2019-04-04 17:25:00 +0530,116
2019-04-04 17:30:00 +0530,116
2019-04-04 17:35:00 +0530,99
2019-04-04 17:40:00 +0530,42
2019-04-04 17:45:00 +0530,42
2019-04-04 17:50:00 +0530,37
2019-04-04 17:55:00 +0530,22
2019-04-04 18:00:00 +0530,22
2019-04-04 18:05:00 +0530,21
2019-04-04 18:10:00 +0530,18
2019-04-04 18:15:00 +0530,18
2019-04-04 18:20:00 +0530,14
2019-04-04 18:25:00 +0530,0
2019-04-04 18:30:00 +0530,0
2019-04-04 18:35:00 +0530,0
2019-04-04 18:40:00 +0530,0
2019-04-04 18:45:00 +0530,0
2019-04-04 18:50:00 +0530,0
2019-04-04 18:55:00 +0530,0
2019-04-04 19:00:00 +0530,0
2019-04-04 19:05:00 +0530,0
2019-04-04 19:10:00 +0530,0
2019-04-04 19:15:00 +0530,0
2019-04-04 19:20:00 +0530,0
2019-04-04 19:25:00 +0530,0
2019-04-04 19:30:00 +0530,0
2019-04-04 19:35:00 +0530,0
2019-04-04 19:40:00 +0530,0
2019-04-04 19:45:00 +0530,0
2019-04-04 19:50:00 +0530,0
2019-04-04 19:55:00 +0530,0
2019-04-04 20:00:00 +0530,0
2019-04-04 20:05:00 +0530,0
2019-04-04 20:10:00 +0530,0
2019-04-04 20:15:00 +0530,0
2019-04-04 20:20:00 +0530,0
2019-04-04 20:25:00 +0530,0
