vltgA,vltgB,vltgC,currA,currB,currC,currN,F,PFA,PFB,PFC,VTHD,ITHD,statusWord,txn_header_id,sample_timestamp,vltgGN,eventId,eventTime,boardTemp
2138,2141,2131,2632,1073,2676,500,4900,86,90,90,5,22,0,b445346959624133a32059cc0936bda5,3/18/2016 16:14,0,4,3/18/2016 16:14,82
2140,2145,2137,2720,1117,2529,529,4900,91,92,92,4,14,41514,b445346959624133a32059cc0936bda5,3/18/2016 16:17,0,0,3/18/2016 16:17,82
2131,2132,2129,3058,1382,2955,382,4900,90,92,92,5,18,32810,b445346959624133a32059cc0936bda5,3/18/2016 16:18,0,2,3/18/2016 16:18,82
2132,2133,2130,3058,1382,2926,382,4900,90,92,92,6,18,41642,b445346959624133a32059cc0936bda5,3/18/2016 16:20,0,3,3/18/2016 16:20,82
2123,2131,2128,2661,1000,2220,632,4900,92,92,92,5,12,35370,b445346959624133a32059cc0936bda5,3/18/2016 16:29,0,1,3/18/2016 16:29,82
2133,2137,2132,2545,1027,2347,496,4900,0,0,0,5,14,32808,b445346959624133a32059cc0936bda5,3/18/2016 16:29,0,5,3/18/2016 16:29,82
2153,2150,2147,1970,1014,2000,352,5000,91,92,91,4,16,41002,b6b9cdd55f3b443ab3c97a0d2693a7d8,3/18/2016 16:36,0,0,3/18/2016 16:36,79
2138,2138,2132,2102,867,1897,411,4900,86,91,94,7,23,33322,b6b9cdd55f3b443ab3c97a0d2693a7d8,3/18/2016 16:40,0,4,3/18/2016 16:40,79
2130,2128,2121,2426,1044,2500,426,4900,93,91,94,7,15,32810,b6b9cdd55f3b443ab3c97a0d2693a7d8,3/18/2016 16:43,0,1,3/18/2016 16:43,79
2133,2131,2131,2720,1323,2411,352,4900,93,93,93,6,18,40970,b6b9cdd55f3b443ab3c97a0d2693a7d8,3/18/2016 16:46,0,2,3/18/2016 16:46,79
2133,2131,2131,2720,1323,2411,352,4900,93,93,93,6,18,40970,b6b9cdd55f3b443ab3c97a0d2693a7d8,3/18/2016 16:48,0,3,3/18/2016 16:48,79
2141,2137,2135,2097,1033,2035,370,4923,0,0,0,5,16,43562,b6b9cdd55f3b443ab3c97a0d2693a7d8,3/18/2016 16:48,0,5,3/18/2016 16:48,79
2148,2144,2147,2044,1073,1852,397,4900,91,92,92,5,15,43178,019b4df0b54d452c9e2bf0d1e7dd61d0,3/18/2016 16:49,0,0,3/18/2016 16:49,79
2144,2143,2144,2014,1000,1705,455,4900,89,90,91,4,19,34858,5d0c044baf5444f28d148d8e320d3f56,3/18/2016 16:50,0,4,3/18/2016 16:50,79
2139,2141,2141,2323,1102,1941,500,5000,92,93,91,2,18,8234,5d0c044baf5444f28d148d8e320d3f56,3/18/2016 16:52,0,3,3/18/2016 16:52,79
2156,2155,2162,1823,970,1382,676,5000,92,95,93,6,21,33280,5d0c044baf5444f28d148d8e320d3f56,3/18/2016 16:58,0,0,3/18/2016 16:58,79
2140,2133,2152,1426,823,1338,485,5000,91,89,93,3,20,34858,ca6e4552b8e7442abb152f1c30aa3ed2,3/18/2016 17:34,0,4,3/18/2016 17:34,79
2133,2129,2148,1823,1029,1514,588,5000,94,96,92,2,20,34858,ca6e4552b8e7442abb152f1c30aa3ed2,3/18/2016 17:34,0,2,3/18/2016 17:34,79
2129,2126,2145,1617,882,1323,514,4900,92,95,91,2,24,10922,ca6e4552b8e7442abb152f1c30aa3ed2,3/18/2016 17:36,0,1,3/18/2016 17:36,79
2141,2138,2155,1500,867,1279,500,4900,91,94,91,2,24,8874,ca6e4552b8e7442abb152f1c30aa3ed2,3/18/2016 17:36,0,0,3/18/2016 17:36,79
2135,2134,2151,1823,1014,1455,602,4900,93,96,92,2,21,8234,ca6e4552b8e7442abb152f1c30aa3ed2,3/18/2016 17:37,0,3,3/18/2016 17:37,79
2111,2110,2117,1617,867,1911,308,4900,86,93,91,5,17,35498,af3d94c5ff6243a9b997efd128904da4,3/18/2016 17:52,0,1,3/18/2016 17:52,79
2119,2117,2126,1882,985,2191,308,4900,87,94,92,6,21,41002,af3d94c5ff6243a9b997efd128904da4,3/18/2016 17:52,0,2,3/18/2016 17:52,79
2119,2117,2126,1882,985,2191,308,4900,87,94,92,6,21,41002,af3d94c5ff6243a9b997efd128904da4,3/18/2016 17:53,0,3,3/18/2016 17:53,79
2122,2120,2128,1441,750,1617,308,4900,84,91,89,8,23,32770,af3d94c5ff6243a9b997efd128904da4,3/18/2016 17:54,0,4,3/18/2016 17:54,79
2129,2127,2135,1426,794,1750,338,4900,85,93,90,7,21,41130,af3d94c5ff6243a9b997efd128904da4,3/18/2016 17:54,0,0,3/18/2016 17:54,79
2116,2115,2127,1364,712,1324,426,4972,0,0,0,4,21,33280,0a009c29009440579c88dd4e64eeabf1,3/18/2016 18:33,0,5,3/18/2016 18:33,79
2132,2133,2152,1794,911,1588,544,4900,85,91,90,5,15,43690,ac802c9a9d9f460081210b72d343bfc2,3/18/2016 19:19,0,1,3/18/2016 19:19,79
2136,2138,2156,2014,970,1764,514,4900,87,92,91,4,18,41002,ac802c9a9d9f460081210b72d343bfc2,3/18/2016 19:19,0,2,3/18/2016 19:19,79
2136,2138,2156,2014,970,1764,514,4900,87,92,91,4,18,41002,ac802c9a9d9f460081210b72d343bfc2,3/18/2016 19:20,0,3,3/18/2016 19:20,79
2143,2143,2160,1382,647,1367,382,4900,82,90,92,3,25,32810,ac802c9a9d9f460081210b72d343bfc2,3/18/2016 19:24,0,4,3/18/2016 19:24,79
2145,2142,2164,1455,779,1279,602,4900,83,92,91,4,19,43690,ac802c9a9d9f460081210b72d343bfc2,3/18/2016 19:33,0,0,3/18/2016 19:33,79
2139,2140,2157,1434,706,1312,461,4918,0,0,0,3,20,34986,ac23ffa7a73142d39a02f2852d42e8c4,3/18/2016 19:33,0,5,3/18/2016 19:33,79
2140,2142,2158,1058,500,955,382,5000,82,91,91,2,28,43562,0a009c29009440579c88dd4e64eeabf1,3/18/2016 19:34,0,4,3/18/2016 19:34,79
2138,2135,2153,1220,691,1132,529,5000,85,94,93,2,29,42,0a009c29009440579c88dd4e64eeabf1,3/18/2016 19:36,0,2,3/18/2016 19:36,79
2134,2132,2150,1088,602,955,500,5000,86,93,92,2,24,43690,0a009c29009440579c88dd4e64eeabf1,3/18/2016 19:42,0,1,3/18/2016 19:42,79
2143,2142,2162,1029,588,867,602,5000,83,94,93,2,27,43562,0a009c29009440579c88dd4e64eeabf1,3/18/2016 19:45,0,0,3/18/2016 19:45,79
2149,2147,2161,1177,622,1241,352,4970,0,0,0,3,23,43562,e9da10ad78b04bcda1deae4f0e92f3df,3/18/2016 20:03,0,5,3/18/2016 20:03,79
2155,2152,2166,911,529,955,338,4900,84,89,89,3,34,34858,b85168257ffe48e3b34c2ea6ab8a5157,3/18/2016 20:04,0,4,3/18/2016 20:04,79
2156,2150,2167,1029,676,1338,441,5000,88,94,93,2,37,8234,b85168257ffe48e3b34c2ea6ab8a5157,3/18/2016 20:08,0,2,3/18/2016 20:08,79
