transID,vltgA,vltgB,vltgC,currA,currB,currC,currN,F,PFA,PFB,PFC,VTHD,ITHD,ambTemp,finTemp,statusWord,sample_timestamp,vltgGN,eventId,eventTime,boardTemp
5,2295,2280,2281,632,220,617,264,5000,85,87,90,3,42,0,0,43690,3/30/2016 0:05,0,0,3/30/2016 0:05,78
5,2280,2266,2269,643,288,624,262,4974,0,0,0,3,41,0,0,43690,3/30/2016 0:05,0,5,3/30/2016 0:05,78
5,2270,2253,2258,794,411,617,308,4900,92,94,91,5,32,0,0,34858,3/30/2016 0:05,0,3,3/30/2016 0:05,78
5,2270,2253,2258,794,411,617,308,4900,92,94,91,5,32,0,0,34858,3/30/2016 0:05,0,2,3/30/2016 0:05,78
5,2263,2246,2253,794,411,632,308,4900,92,94,91,5,32,0,0,34858,3/30/2016 0:06,0,1,3/30/2016 0:06,78
5,2265,2249,2252,632,279,632,250,4900,86,81,91,5,42,0,0,43178,3/30/2016 0:08,0,4,3/30/2016 0:08,78
5,2230,2216,2222,1102,573,970,294,4900,93,94,91,8,17,0,0,34858,3/30/2016 0:12,0,1,3/30/2016 0:12,78
5,2230,2216,2223,1132,588,970,308,4900,91,93,91,8,22,0,0,34858,3/30/2016 0:12,0,2,3/30/2016 0:12,78
5,2231,2217,2223,1132,588,970,308,4900,91,93,91,8,22,0,0,43690,3/30/2016 0:20,0,3,3/30/2016 0:20,78
5,2245,2229,2233,816,372,786,246,4900,0,0,0,6,32,0,0,43690,3/30/2016 0:20,0,5,3/30/2016 0:20,78
5,2238,2224,2227,926,382,823,235,4900,86,87,91,5,26,0,0,43690,3/30/2016 0:20,0,4,3/30/2016 0:20,78
5,2236,2223,2228,1073,455,823,294,4900,90,91,91,4,21,0,0,34858,3/30/2016 0:20,0,2,3/30/2016 0:20,78
5,2236,2223,2228,1073,455,823,294,4900,90,91,91,4,21,0,0,34858,3/30/2016 0:20,0,3,3/30/2016 0:20,78
5,2248,2232,2238,632,338,544,323,4900,87,92,92,3,41,0,0,43690,3/30/2016 0:23,0,0,3/30/2016 0:23,78
